genus,species_only,clade,species,Lineage,Extended_lineage,primary_accession_num,alternate_accession_num,IUCN,Combined_captivity_flag_primary,Combined_captivity_flag_alternate,short_name,System,all_SROH,all_NROH,all_FROH_percent,all_aln_SROH,all_aln_NROH,all_aln_FROH_percent,500kb+_SROH,500kb+_NROH,500kb+_FROH_percent,500kb+_aln_SROH,500kb+_aln_NROH,500kb+_aln_FROH_percent,1Mb+_SROH,1Mb+_NROH,1Mb+_FROH_percent,1Mb+_aln_SROH,1Mb+_aln_NROH,1Mb+_aln_FROH_percent,10Mb+_SROH,10Mb+_NROH,10Mb+_FROH_percent,10Mb+_aln_SROH,10Mb+_aln_NROH,10Mb+_aln_FROH_percent,1%+_SROH,1%+_NROH,1%+_FROH_percent,1%+_aln_SROH,1%+_aln_NROH,1%+_aln_FROH_percent,10%+_SROH,10%+_NROH,10%+_FROH_percent,10%+_aln_SROH,10%+_aln_NROH,10%+_aln_FROH_percent,25%+_SROH,25%+_NROH,25%+_FROH_percent,25%+_aln_SROH,25%+_aln_NROH,25%+_aln_FROH_percent,50%+_SROH,50%+_NROH,50%+_FROH_percent,50%+_aln_SROH,50%+_aln_NROH,50%+_aln_FROH_percent,heterozygosity,het_w_ROH,genome_align_size,genome_align_proportion,num_auto_chromosomes,IDRisk_all,IDRisk_1Mb,IDRisk_10Mb,IDRisk_longplus,IDRisk_over_tenthplus,Genome_size,countries,habitats,criteria,synonyms,Length,Weight,Saltwater,Aqu,Fos,Ter,Arb,Aer,proportion_aln_froh_100_500kb,proportion_aln_froh_1mbplus,proportion_aln_froh_10mbplus,proportion_aln_froh_longplus,proportion_aln_froh_shortmed,proportion_aln_froh_over_tenth_plus,froh_min,froh_max,disparate_species_>25
Conger,conger,fishes,Conger_conger,Fishes,Ray-finned fishes,GCF_963514075.1,GCA_963514125.1,LC,no,no,ConCon,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.742,2.742,694487399,0.626219134,19,0,0,0,0,0,1109016574,GI; AO; NA; AL; EG; EH; NL; ES; GR; PH; LB; UA; PT; MT; MR; BA; IT; IS; SN; SL; DE; BE; SY; FR; BG; DZ; NO; TR; RO; TN; HR; GB; LY; MC; MA; FI; DK; IE; CY; SE; IL; CV; CU; SI; ME,11_1; 9_4; 11_1_1; 9_2; 11_1_2,,Leptocephalus gussoni;Leptocephalus lineatus;Conger linnei;Leptocephalus morrisianus;Ophidium pellucidum;Lepidopus pellucidus;Helmictis punctatus;Conger rubescens;Leptocephalus vitreus;Conger vulgaris;Leptocephalus conger;Leptocephalus morrisii;Conger niger;Leptocephalus pellucidus;Ophisoma obtusa;Anguilla conger;Muraena conger;Muraena nigra;Conger communis;Conger verus;Leptocephalus candidissimus;Leptocephalus spallanzani;Leptocephalus stenops;Leptocephalus inaequalis;Anguilla obtusa,3000,110000,1,1,0,0,0,0,,,,,,,0,0,
Coregonus,lavaretus,fishes,Coregonus_lavaretus,Fishes,Ray-finned fishes,GCA_964263955.1,,VU,likely,,CorLav,Freshwater,479163582,2433,23.38453653,453423559,2433,29.07485289,47902495,65,2.33777709,33837341,50,2.169749878,9732192,7,0.474958465,2482864,2,0.159208546,0,0,0,0,0,0,44126889,72,2.15351685,63935675,145,4.099743625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.764263191,0.664,1559504224,0.76108212,40,0.222208398,0.001216772,0,0.031332831,0,2049061701,FRA-FR; FR,5_5,D2,Coregonus dispersus;Salmo lavaretus;Coregonus lavaretus;Coregonus conorhynchus;Coregonus pidshian;Coregonus pachycephalus;Coregonus palea,730,10000,0,1,0,0,0,0,0.994524184,0.005475816,0,0.141006513,0.858993487,0,7.210170708,45.37613587,
Corvus,hawaiiensis,birds,Corvus_hawaiiensis,Birds,Birds,,,EW,yes,yes,CorHaw,,424874022,826,37.58797664,418015086,826,43.28419251,286122641,233,25.31284708,278067847,228,28.79308098,196309592,97,17.3672194,191006162,95,19.77810793,13501517,1,1.19445925,13501517,1,1.398041077,269241142,278,23.81936581,270706800,294,28.03086692,61057803,20,5.40169357,62928486,22,6.516053592,229100,1,0.020268138,7145147,3,0.73985827,0,0,0,0,0,0,0.59696205,0.46,965745372,0.854380654,41,0.258390203,0.118067799,0.008345775,0.167333638,0.038898367,1130345552,HAW-HI; US,1_9; 14_2; 3_5; 3_6; 1_5; 1_6,,,490,518.82,,0,0,1,1,0,0.543063951,0.456936049,0.032299114,0.647600551,0.352399449,0.150541184,0,95.84945407,Yes
Corvus,moneduloides,birds,Corvus_moneduloides,Birds,Birds,GCF_009650955.1,GCA_009651025.1,LC,no,no,CorMon,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26,1.26,863129658,0.779708738,34,0,0,0,0,0,1106989849,NC,1_5; 14_1; 4_5; 3_6; 1_6,,,400,277.38,,0,0,1,0,0,,,,,,,0,0,
Corynorhinus,townsendii,mammals,Corynorhinus_townsendii,Mammals,Mammals,GCA_026230055.1,,LC,no,,CorTow,,20629819,99,0.988742879,20293246,99,1.115743426,5246945,6,0.251474795,5172607,6,0.284395225,1096508,0,0.052553271,1046461,0,0.057535496,0,0,0,0,0,0,1608862,1,0.077109297,1558815,1,0.085705243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.106,2.091,1818809372,0.871716235,20,0.023497557,0.001211698,0,0.001804952,0,2086469541,MX; CA; US,1_4; 3_4; 7_1; 14,,Plecotus townsendii,54,12,,0,0,0,1,1,0.94843304,0.05156696,0,0.076814473,0.923185527,0,0,6.290008522,
Cottoperca,gobio,fishes,Cottoperca_gobio,Fishes,Ray-finned fishes,GCF_900634415.1,GCA_900634435.1,LC,no,no,CotGob,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8475,0.8475,417259129,0.725601978,24,0,0,0,0,0,575052359,,,,,800,,1,1,0,0,0,0,,,,,,,0,0,
Cristiceps,australis,fishes,Cristiceps_australis,Fishes,Ray-finned fishes,GCA_049082185.1,,LC,no,,CriAus,,13076358,55,2.255423219,8316937,55,1.769080789,3958346,1,0.682739451,0,0,0,3958346,1,0.682739451,0,0,0,0,0,0,0,0,0,6700900,10,1.155777889,2063200,10,0.43885958,3958346,1,0.682739451,266474,2,0.056681208,0,0,0,0,0,0,0,0,0,0,0,0,3.236,3.194,470127597,0.81088075,24,0.057247454,0,0,0.014201496,0.001834204,579774026,AU,9_7; 9_9,,,180,,1,1,0,0,0,0,1,0,0,0.248072097,0.751927903,0.03203992,0,419.0895733,
Ctenodactylus,gundi,mammals,Ctenodactylus_gundi,Mammals,Mammals,GCA_048771875.1,,LC,no,,CteGun,,18335392,60,0.868458831,18326196,60,0.932212318,9979789,11,0.472694333,9979789,11,0.507649391,4428334,2,0.209748762,4428334,2,0.225259377,0,0,0,0,0,0,4428334,2,0.209748762,4428334,2,0.225259377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.804,1.797,1965882198,0.931143308,19,0.01681711,0.004063679,0,0.004063679,0,2111256324,DZ; TN; MA; LY,3_5; 6,,,228,396,,0,0,1,0,0,0.758360437,0.241639563,0,0.241639563,0.758360437,0,0,3.192332469,
Cuculus,canorus,birds,Cuculus_canorus,Birds,Birds,GCF_017976375.1,GCA_017976305.1,LC,no,no,CucCan,Terrestrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0705,7.0705,998460253,0.852983369,39,0,0,0,0,0,1170550669,PL; NL; AO; LT; SY; GW; PS; LA; TH; QA; BD; IR; MZ; HU; SI; UZ; TM; IT; ME; TD; AL; BH; GL; NE; BB; FO; ZW; LB; MK; TJ; LR; CV; LI; IQ; US; RU-CA; BF; KR; SE; TW; FI; MM; IL; MA; LK; MN; KW; CZ; VN; TG; AF; YT; LU; CF; FR; GA; ID; RU-EU; MD; IS; AZ; LS; ET; KM; SA; EG; IN; NG; SN; RW; CH; PW; MV; PK; SL; YE; ML; BW; BI; MT; TR; ZM; GN; TZ; DK; DJ; RU; BA; ES; OM; CI; GM; BE; CN; BJ; NO; GB; GR; HK; LV; JP; KZ; EH; KG; GE; DZ; BG; EE; RU-EA; SO; CM; SS; AD; AT; LY; GH; HR; SC; RO; NA; AE; UG; BY; KP; IE; SD; MW; CD; DE; SK; BT; JO; ZA; GI; NP; UA; ER; PT; RS; TN; KE; AM; MR,1_5; 14_2; 14_4; 3_7; 1_9; 2_1; 4_4; 3_4; 1_4,,,305,115,,0,0,1,1,0,,,,,,,0,0,
Cyanocitta,cristata,birds,Cyanocitta_cristata,Birds,Birds,GCA_046129655.1,,LC,no,,CyaCri,Terrestrial,854854,2,0.073997765,854854,2,0.088859748,692071,1,0.059906964,692071,1,0.071938898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.698,6.697,962026135,0.832747863,37,0.005951826,0,0,0,0,1155242994,US; PM; CA; MX,1_6; 1_6; 1_5; 1_5; 1_4; 1_4; 1_1; 14_5; 14_5; 14_4; 14_4,,,300,109,,0,0,1,1,0,1,0,0,0,1,0,0,0.93472595,
Cyclopterus,lumpus,fishes,Cyclopterus_lumpus,Fishes,Ray-finned fishes,GCF_009769545.1,"GCA_009769515.1,GCA_963457675.1",NT,no,,CycLum,Marine,218190,2,0.038140661,217498,2,0.047228849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.344,1.344,460519379,0.805010015,25,0.000634756,0,0,0,0,572066646,GB; SE; ES; PT; PL; NO; NL; LT; BE; DK; EE; RU-EU; FO; FI; FR; DE; GG; IS; IE; JE; LV; GRB-OO; SJ; SPA-SP; RU; IRE-NI; FRA-FR; POR-OO,10_2; 10_1,,,610,9500,1,1,0,0,0,0,1,0,0,0,1,0,0,0.639627404,
Cyclura,pinguis,reptiles,Cyclura_pinguis,Reptiles,Lepidosauria,GCA_030412105.1,,CR,yes,,CycPin,Terrestrial,1234570048,897,63.29784291,1076071863,893,57.1515151,1087894700,242,55.77762714,930046548,238,49.39592899,1009065485,126,51.73596157,851385649,122,45.2181508,710527500,24,36.4295717,562392207,22,29.86934964,940140675,112,48.20210636,784539551,109,41.66787139,481683160,17,24.6964561,368737461,17,19.5841052,249097359,6,12.77151145,135635990,5,7.203796138,10842668,0,0.555916205,10047960,0,0.533659654,0.002108768,0.002,1882840483,0.965354224,17,0.001205193,0.000953546,0.000629875,0.000878679,0.000412983,1950414092,VG,3_5; 1_5; 12_1; 4_6; 1_7; 13_3; 4_5; 14_4; 14_6,B1ab(iii),Cyclura mattea;Cyclura portoricensis,560,7406.5,,0,0,1,0,0,0.208802239,0.791197761,0.522634432,0.729077284,0.270922716,0.342669922,31.2566781,79.95859254,Yes
Cygnus,columbianus,birds,Cygnus_columbianus,Birds,Birds,GCA_965151615.1,GCA_965151615.1,LC,no,no,CygCol,Freshwater,11959294,14,1.030311243,11950694,14,1.196187407,9943240,6,0.856625146,9938040,6,0.99473372,7636932,3,0.657933228,7635732,3,0.764287535,0,0,0,0,0,0,11959294,14,1.030311243,11950694,14,1.196187407,11680537,12,1.006295907,11672737,12,1.168365704,8089353,6,0.69690998,8083553,6,0.80911153,5214948,2,0.449275648,5213748,2,0.521862555,2.21,2.209,999065358,0.860709897,39,0.026435742,0.016890755,0,0.026435742,0.025820882,1160745753,BY; AG; HR; GI; IS; IT; LU; UZ; JP; FR; GR; RU; LY; JO; DE; ME; DK; MK; PT; PM; KG; RO; SI; SE; BG; LV; MD; US; AE; MX; FI; IR; VI; KR; BM; NO; CH; CU; EE; SK; TR; DZ; AZ; PL; PR; NP; CA; TM; GL; KP; GU; IL; PK; LT; TW; ES; KZ; IQ; CN; AT; IE; GB; MN; CZ; OM; MP; RU-EA; UA; NL; RS; BE; HU; IN,14_1; 14_2; 4_1; 4_4; 5_1; 5_4,,,1420,6377.96,,1,0,1,0,0,0.361063717,0.638936283,0,1,0,0.976741351,0,71.06814058,
Cygnus,olor,birds,Cygnus_olor,Birds,Birds,GCF_009769625.2,GCA_009769485.2,LC,no,no,CygOlo,Freshwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.803,0.803,731189982,0.710195763,34,0,0,0,0,0,1029561172,MN; LV; KR; UZ; AZ; AE; AU; OM; ZA; IS; TM; IL; RO; NO; TJ; CH; HR; FR; JP; SK; LB; IT; AF; SY; BM; CN; IQ; BE; MK; CZ; NZ; TW; TR; LI; UA; NL; FO; SI; ES; LU; SE; MD; PT; IE; RU-CA; GB; GR; EG; BA; JO; KZ; IN; AT; AL; RU-EU; US; KP; DE; LY; IR; LT; RU-EA; BY; RU; CA; DK; HU; AM; CNY-OO; BG; EE; CY; FI; PS; BH; RS; PL; ME; MA; MT; PK; KG,5_4; 5_1; 13_5; 13_4; 5_5; 14_1; 13_4; 5_4; 5_1; 13_5; 5_5,,,1420,15000,,1,0,0,0,0,,,,,,,0,0,
Cynocephalus,volans,mammals,Cynocephalus_volans,Mammals,Mammals,GCF_027409185.1,GCA_027409165.1,LC,no,no,CynVol,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.265,4.265,2169583390,0.793063811,18,0,0,0,0,0,2735698388,PH,14_3; 14_6; 14_4; 1_6,,Cynocephalus philippinensis;Lemur volans,420,1750,,0,0,0,1,0,,,,,,,0,0,
Cyprinella,venusta,fishes,Cyprinella_venusta,Fishes,Ray-finned fishes,GCA_038024135.1,,LC,no,,CypVen,,17729185,53,1.962481546,17173451,53,4.233383673,7536732,6,0.834257044,7334669,6,1.808050577,4940421,3,0.546865806,4865757,3,1.199445367,0,0,0,0,0,0,9951654,12,1.101569944,14652621,35,3.611980289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4195,4.3675,405667247,0.449041784,25,0.187094391,0.053009488,0,0.159631469,0,903406457,US,5_1,,,190,,0,1,0,0,0,0,0.716669818,0.283330182,0,0.853213545,0.146786455,0,0,14.604297,
Dama,dama,mammals,Dama_dama,Mammals,Mammals,GCA_048126745.1,,LC,no,,DamDam,Terrestrial,1322458564,1554,52.177276,1292041338,1553,55.76155404,1060212865,426,41.83043672,1029564146,423,44.43363774,882654348,171,34.82490929,851942329,168,36.76788568,532270068,24,21.00058406,496258431,22,21.41738078,960646562,279,37.90207283,935246992,284,40.36312473,570541861,30,22.5105882,552128329,30,23.82859801,327340806,10,12.91515065,304967287,9,13.16169178,120717852,2,4.762893034,120412824,2,5.196742546,0.276765759,0.184,2317082729,0.914199268,33,0.154328888,0.101760918,0.059275977,0.111711309,0.0659494,2534548879,CL; PE; NL; ES; UA; PT; SIC-SI; BA; IT; US; AR; AT; IE; DK; LV; LU; LT; ZA; HR; RO; HU; ME; MK; ITA-IT; DE; UY; MD; AL; EE; SAR-OO; BY; NZ; GB; CA; NO; FR; BG; BE; FJ; FI; CZ; CY; SE; SI; SK; PL; RS; RU; CH; GR; TR,3_4; 14_3; 14_2; 3_8; 1_4; 4_4,,Cervus dama,2300,150000,,0,0,1,0,0,0.34062301,0.65937699,0.384088664,0.723852221,0.276147779,0.427330235,26.6263759,89.88634643,Yes
Danio,rerio,fishes,Danio_rerio,Fishes,Ray-finned fishes,GCA_944039275.1,GCA_944039255.1,LC,yes,yes,DanRer,,78042143,577,5.528938501,77380297,577,7.246946196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415217,1,0.038886582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.464108911,0.439,1067764199,0.756463414,25,0.033633723,0,0,0.000180476,0,1411521271,IND-UP; NP; EHM-AP; IND-OR; ASS-AS; BD; ASS-ME; IN; IND-KT; IND-WB,5_7; 5_4; 5_2,,,37.99999952,,0,1,0,0,0,0,1,0,0,0.005365927,0.994634073,0,1.242078886,16.14746372,
Dasypus,novemcinctus,mammals,Dasypus_novemcinctus,Mammals,Mammals,GCF_030445035.2,,LC,no,,DasNov,Terrestrial,773953397,1540,22.11546801,763081031,1540,25.09992348,532417262,370,15.21365107,521027071,363,17.13807457,380215845,154,10.86454481,372608817,152,12.25617256,64410759,3,1.840516607,64410040,3,2.118630932,356544363,150,10.18813986,361536892,164,11.8919852,31560452,0,0.901829709,42694973,1,1.404360103,0,0,0,0,0,0,0,0,0,0,0,0,1.7,1.531,3040172738,0.868719528,31,0.426698699,0.208354934,0.036016726,0.202163748,0.023874122,3499602163,PA; BR; NI; TT; HN; PE; GY; GD; PY; EC; BO; SV; US; CR; VE; GF; UY; SR; AR; CO; BZ; MX; GT; BZE-PI; BZE-PE; BZS-PR; BZE-PB; BZN-PA; BZL-MG; BZC-MS; BZC-MT; BZE-MA; BZC-GO; BZL-ES; BZE-CE; MXC-ME; MXS-MI; MXC-MO; MXS-NA; MXE-NL; MXS-OA; MXC-PU; MXE-QU; MXT-QR; MXE-SL; MXN-SI; MXT-TB; MXE-TA; MXC-TL; BZL-RJ; BZE-RN; BZS-RS; BZN-RO; BZN-RM; BZS-SC; BZL-SP; BZE-SE; BZN-TO; CLM-OO; VEN-OO; ECU-OO; MXS-JA; MXE-HI; MXS-GR; MXE-GU; MXE-DU; MXS-CL; MXE-CO; MXE-CU; MXT-CI; MXT-CA; COS-OO; HON-OO; MXG-VC; MXT-YU; MXE-ZA; NIC-OO; ALA-OO; ARK-OO; COL-OO; FLA-OO; GEO-OO; ILL-OO; KAN-OO; KTY-OO; LOU-OO; MSI-OO; MSO-OO; NEB-OO; NWM-OO; OKL-OO; SCA-OO; TEN-OO; TEX-OO; AGE-CH; AGE-CN; AGE-ER; AGE-FO; AGW-JU; AGE-MI; AGW-SA; AGE-SF; AGW-SE; BZN-AC; BZE-AL; BZN-AP; BZN-AZ; BZE-BA; BZC-DF; AGE-BA,1_9; 4_6; 1_6; 4_5; 1_4; 3_4; 2_2; 14_5; 1_5; 2_1; 4_4; 14_3; 14_2; 14_4; 3_8; 3_5; 3_6; 14_1,,,415,8000,,0,1,1,0,0,0.511704784,0.488295216,0.084407864,0.473785715,0.526214285,0.055950772,0.744057327,51.28947933,
Dasyurus,maculatus,mammals,Dasyurus_maculatus,Mammals,Mammals,GCA_048593285.1,,NT,likely,,DasMac,,1871152873,841,61.48615444,1866812620,840,61.96576722,1788023103,432,58.75450704,1783267381,430,59.19262075,1730706640,355,56.87108589,1727373969,355,57.33733108,524346789,35,17.23005539,522005655,35,17.32711712,1015290626,103,33.36248851,1021634816,105,33.91148341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003476973,0.003,3012651507,0.989958429,6,0.002154533,0.001993603,0.000602459,0.001179093,0,3043210118,AU,3; 14_2; 1_9; 1_6,A2c; C1,Viverra maculata,930,5500,,0,0,1,0,0,0.074693437,0.925306563,0.279624023,0.547261576,0.452738424,0,31.53641085,95.50599299,Yes
Delphinus,delphis,mammals,Delphinus_delphis,Mammals,Mammals,GCF_949987515.2,GCA_949987525.2,LC,no,no,DelDel,Marine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.134,2.134,2187937117,0.92537969,21,0,0,0,0,0,2364366909,NO; HR; BA; AL; QA; LB; JM; SR; CY; PK; VE; GN; BS; MX; LR; PE; KE; AR; EC; CM; AE; BE; BG; IT; YE; MZ; MF; CI; DK; RU; NI; GH; GF; GY; SO; RO; AW; HK; GQ; NA; SA; GW; KY; GE; LK; CR; GA; PA; DO; HT; BD; GT; MT; TW; VN; PL; FR; DE; NL; UY; TT; IN; IR; ME; SN; PT; NC; GI; BR; KH; MS; ER; SY; SD; LY; TR; CU; ES; AO; TZ; SX; CA; GP; KW; NZ; PS; ZA; VG; SL; LC; HN; AI; SB; DZ; IQ; ID; MY; CD; DM; GB; SV; PR; BH; UA; EH; GD; VI; KP; GR; BQ; TN; CV; CW; MQ; KN; MR; NG; KR; CL; CG; OM; AU; ST; JP; IL; IE; MC; DJ; GM; US; CN; EG; MA; AG; VC; TG; BZ; CO; SI; GL; IS; BJ; MM; TH; MG; SG,9_1; 10_1,,Delphinus bairdii;Delphinus tropicalis;Delphinus capensis,2600,136000,,1,0,0,0,0,,,,,,,0,0,
Dendropsophus,ebraccatus,amphibians,Dendropsophus_ebraccatus,Amphibians,Amphibians,GCF_027789765.1,,LC,likely,,DenEbr,Terrestrial,4207337,34,0.20176843,4162249,34,0.511447494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8025,2.799,813817459,0.390276963,15,0.014333316,0,0,0,0,2085230581,GT; EC; CR; BZ; NI; HN; CO; PA; MXT-TB; MXT-QR; MXG-VC; MXT-CA; MXT-CI; MXS-OA; MX,1_6; 5_8; 5_7; 1_9; 14_6,,Hyla weyerae;Hyla ebraccata,37,0.92,,1,0,1,1,0,1,0,0,0,1,0,0,1.734012153,
Denticeps,clupeoides,fishes,Denticeps_clupeoides,Fishes,Ray-finned fishes,GCF_900700375.1,GCA_900700345.2,VU,unknown,no,DenClu,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.213,2.213,388999878,0.75174218,20,0,0,0,0,0,517464482,NG; CM; BJ,5_1,B2ab(iii),Acanthothrissa palimptera,150,,0,1,0,0,0,0,,,,,,,0,0,
Dermochelys,coriacea,reptiles,Dermochelys_coriacea,Reptiles,Turtles,GCF_009764565.3,GCA_009762595.2,VU,no likely,no,DerCor,Marine,289648,2,0.013382964,210133,2,0.016414091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444,0.444,1280198816,0.591506063,28,7.29E-05,0,0,0,0,2164303795,TW; IL; BH; TG; ZA; SN; MZ; LR; GH; ER; CI; CD; BJ; PR; FJ; AU; MQ; HT; GP; GD; DO; DM; US; CU; AL; IT; AG; AW; BS; CR; SV; GT; HN; BB; MX; NI; PA; PG; SB; KN; LC; BR; VC; TT; TC; VG; CO; EC; GF; GY; VI; SR; VE; IN; CN; ID; MY; MM; LK; TH; AO; CPI-CL; FR; PE; CL; BD; MS; JM; CA; TN; MA; LY; EG; BM; PT; ME; AI; IE; GR; FRA-FR; HR; BA; SI; ES; GB; BZ; GM; GN; GW; MR; NG; SL; CY; LB; SY; KM; CM; PH; KH; BN; UY; AR; TF; TV; TO; WS; PW; MP; NZ; NC; FM; MH; KI; GU; RU; AS; PF; CG; GQ; GA; KE; MG; MU; YT; NA; SH; ST; SC; TZ; MCI-OO; JP; KP; KR; SX; MF; NLA-BO; BQ; NLA-SE; NLA-SA; CW,12_2; 10_1; 13_3,A2bd,Testudo coriacea,2440,646000,,1,0,0,0,0,1,0,0,0,1,0,0,0.130270329,
Desmodus,rotundus,mammals,Desmodus_rotundus,Mammals,Mammals,GCA_022682495.2,,LC,no likely,,DesRot,,42436320,86,2.079039571,42243532,86,2.296671781,30521566,18,1.495312116,30413191,18,1.653486681,25460744,11,1.247372399,25412589,11,1.38161686,0,0,0,0,0,0,21725533,8,1.064376996,21722553,8,1.180999129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2425,5.217,1839336920,0.901127676,13,0.120403018,0.072431264,0,0.061913879,0,2041150183,HN; CL; NI; MX; PE; AR; EC; CR; PA; BR; BO; PY; VE; TT; BZ; UY; GT; CO; SV,14_2; 14_5; 7_1; 6,,,93,33.2,,0,0,1,0,1,0.398426509,0.601573491,0,0.514221988,0.485778012,0,0.140674391,8.587485438,
Dibamus,smithi,reptiles,Dibamus_smithi,Reptiles,Lepidosauria,GCA_046126795.1,,DD/NE,likely,,DibSmi,,52782036,50,2.335050474,52647354,50,3.531446276,46065180,18,2.037900175,45996581,18,3.085329885,41666122,11,1.843288082,41602395,11,2.790579426,0,0,0,0,0,0,38642591,9,1.709528606,41245449,11,2.766636425,26500819,3,1.172382777,26493528,3,1.777116297,0,0,0,9897397,1,0.663891404,0,0,0,0,0,0,2.8185,2.814,1490815657,0.659529277,17,0.099533813,0.078652481,0,0.077977648,0.050088023,2260423772,VN,1_9,,,108,3,,0,1,0,0,0,0.209791341,0.790208659,0,0.783428717,0.216571283,0.503226202,0,54.08176232,
Diceros,bicornis,mammals,Diceros_bicornis,,,,,CR,yes,yes,DicBic,Terrestrial,192825204,432,7.39005336,189641170,432,8.057215986,131543983,78,5.041441852,127470724,75,5.415802671,107727455,46,4.12867003,104684300,44,4.447684094,0,0,0,0,0,0,126675125,72,4.854842177,124948723,73,5.308651325,0,0,0,6814786,0,0.289537355,0,0,0,0,0,0,0,0,0,0,0,0,1.0555,1.0285,2353681102,0.902051629,41,0.085043915,0.046945306,0,0.056032815,0.003056067,2609253203,ET; ZM; KE; RW; TD; ZW; NA; TZ; CM; MZ; AO; MW; SZ; BW; ZA; SO; NG; NE; UG; TG; SS; SD; BJ; BF; CF; CD; ER,2_1; 3_5; 8_3,A2abd+4abd,Rhinoceros bicornis,4060,2896000,,0,0,1,0,0,0.447987481,0.552012519,0,0.658869184,0.341130816,0.035935161,0,24.86479702,
